     1.000001E-06    1.000001E-06    1.000001E-06    1.000002E-06    1.000003E-06    1.000005E-06    1.000007E-06    1.000011E-06    1.000016E-06    1.000024E-06
     1.000036E-06    1.000052E-06    1.000074E-06    1.000104E-06    1.000144E-06    1.000195E-06    1.000260E-06    1.000340E-06    1.000436E-06    1.000551E-06
     1.000684E-06    1.000836E-06    1.001005E-06    1.001189E-06    1.001388E-06    1.001596E-06    1.001811E-06    1.002053E-06    1.002761E-06    1.003681E-06
     1.005018E-06    1.015373E-06    1.030038E-06    1.046915E-06    1.065711E-06    1.086186E-06    1.107983E-06    1.130911E-06    1.154567E-06    1.178928E-06
     1.203884E-06    1.229752E-06    1.256833E-06    1.285164E-06    1.314445E-06    1.344528E-06    1.374976E-06    1.405588E-06    1.435990E-06    1.465663E-06
     1.472129E-06    1.495265E-06    1.529360E-06    1.613467E-06    1.692799E-06    1.752834E-06    1.792151E-06    1.809466E-06    1.804421E-06    1.778548E-06
     1.732409E-06    1.668189E-06    1.588517E-06    1.497907E-06    1.462739E-06    1.426185E-06    1.388967E-06    1.352375E-06    1.317487E-06    1.286067E-06
     1.256287E-06    1.226884E-06    1.198096E-06    1.169052E-06    1.139424E-06    1.110041E-06    1.081767E-06    1.055431E-06    1.031999E-06    1.012132E-06
     1.002574E-06    1.002124E-06    1.001821E-06    1.001519E-06    1.001230E-06    1.000966E-06    1.000733E-06    1.000538E-06    1.000381E-06    1.000260E-06
     1.000170E-06    1.000108E-06    1.000065E-06    1.000038E-06    1.000022E-06    1.000012E-06    1.000006E-06    1.000003E-06    1.000002E-06    1.000001E-06
     1.000001E-06    1.000001E-06    1.000001E-06    1.000001E-06    1.000002E-06    1.000003E-06    1.000005E-06    1.000007E-06    1.000011E-06    1.000016E-06
     1.000024E-06    1.000036E-06    1.000052E-06    1.000074E-06    1.000104E-06    1.000144E-06    1.000195E-06    1.000260E-06    1.000340E-06    1.000436E-06
     1.000551E-06    1.000684E-06    1.000836E-06    1.001005E-06    1.001189E-06    1.001388E-06    1.001596E-06    1.001811E-06    1.002053E-06    1.002761E-06
     1.003681E-06    1.005018E-06    1.015373E-06    1.030038E-06    1.046915E-06    1.065711E-06    1.086186E-06    1.107983E-06    1.130911E-06    1.154567E-06
     1.178928E-06    1.203884E-06    1.229752E-06    1.256833E-06    1.285164E-06    1.314445E-06    1.344528E-06    1.374976E-06    1.405588E-06    1.435990E-06
     1.465663E-06    1.472129E-06    1.495265E-06    1.529360E-06    1.613467E-06    1.692799E-06    1.752834E-06    1.792151E-06    1.809466E-06    1.804421E-06
     1.778548E-06    1.732409E-06    1.668189E-06    1.588517E-06    1.497907E-06    1.462739E-06    1.426185E-06    1.388967E-06    1.352375E-06    1.317487E-06
     1.286067E-06    1.256287E-06    1.226884E-06    1.198096E-06    1.169052E-06    1.139424E-06    1.110041E-06    1.081767E-06    1.055431E-06    1.031999E-06
     1.012132E-06    1.002574E-06    1.002124E-06    1.001821E-06    1.001519E-06    1.001230E-06    1.000966E-06    1.000733E-06    1.000538E-06    1.000381E-06
     1.000260E-06    1.000170E-06    1.000108E-06    1.000065E-06    1.000038E-06    1.000022E-06    1.000012E-06    1.000006E-06    1.000003E-06    1.000002E-06
     1.000001E-06    1.000001E-06    1.000002E-06    1.000002E-06    1.000004E-06    1.000007E-06    1.000012E-06    1.000022E-06    1.000039E-06    1.000067E-06
     1.000112E-06    1.000181E-06    1.000284E-06    1.000429E-06    1.000625E-06    1.000877E-06    1.001185E-06    1.001542E-06    1.001934E-06    1.002339E-06
     1.002730E-06    1.022148E-06    1.052893E-06    1.090679E-06    1.133447E-06    1.178584E-06    1.225214E-06    1.276299E-06    1.333327E-06    1.412584E-06
     1.708770E-06    2.073559E-06    2.611049E-06    6.229964E-06    1.085709E-05    1.574933E-05    2.086273E-05    2.619667E-05    3.171962E-05    3.744474E-05
     4.334002E-05    4.948616E-05    5.592694E-05    6.284833E-05    7.040878E-05    7.845691E-05    8.683046E-05    9.546470E-05    1.042281E-04    1.130678E-04
     1.218553E-04    1.304301E-04    1.374800E-04    1.477388E-04    1.581390E-04    1.671363E-04    1.743952E-04    1.796104E-04    1.826523E-04    1.834231E-04
     1.819290E-04    1.783643E-04    1.728024E-04    1.654470E-04    1.565858E-04    1.465399E-04    1.356409E-04    1.242778E-04    1.128032E-04    1.016018E-04
     9.104182E-05    8.174644E-05    7.303396E-05    6.454642E-05    5.627270E-05    4.823250E-05    4.037095E-05    3.274823E-05    2.538542E-05    1.829594E-05
     1.151477E-05    5.033502E-06    1.453866E-06    1.283548E-06    1.221291E-06    1.164561E-06    1.108559E-06    1.057495E-06    1.017129E-06    1.002491E-06
     1.001945E-06    1.001419E-06    1.000965E-06    1.000610E-06    1.000359E-06    1.000196E-06    1.000100E-06    1.000047E-06    1.000021E-06    1.000009E-06
     1.000003E-06    1.000001E-06    1.000001E-06    1.000003E-06    1.000003E-06    1.000008E-06    1.000018E-06    1.000040E-06    1.000083E-06    1.000162E-06
     1.000302E-06    1.000527E-06    1.000862E-06    1.001319E-06    1.001883E-06    1.002505E-06    1.003102E-06    1.032581E-06    1.082617E-06    1.144186E-06
     1.208866E-06    1.369943E-06    8.347369E-06    1.760102E-05    2.779534E-05    3.892353E-05    5.103793E-05    6.436864E-05    7.910029E-05    9.569597E-05
     1.149755E-04    1.383019E-04    1.675539E-04    2.042709E-04    2.491060E-04    3.032023E-04    3.673311E-04    4.421739E-04    5.280362E-04    6.243394E-04
